subject,session,scan,site,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
50029,session_1,anat_1,PITT,9.6489706252,5063656,11.1258362098,10.4847110492,137.7154577338,224399,77.3403844141,0.4624807468,86.8061114725,82.3224131003,6470680,109.7730634781,5.8691080946,5.6228091408,5.7614750929,6.2406423792,212.3149419305,668682,33.6433709839,0.1448712156,7.3992113085,328.9661197713,496012,44.1279431444
50030,session_1,anat_1,PITT,7.5696886951,5192980,7.8593040769,12.9295522011,124.292687681,287296,56.7157076359,0.4510633223,128.2858758007,73.2892051795,6341356,99.516550502,5.8901262415,5.6107996178,5.8807482528,6.193201487,207.9205383669,567494,32.1405543667,0.122241372,9.3251520062,309.5378206936,446766,34.2235732856
50031,session_1,anat_1,PITT,8.9003202301,4710675,8.4805788525,13.0559245483,139.231304416,254980,76.2747247894,0.4229952601,98.1734678106,65.3017186815,6823661,102.8261773886,6.3646623103,6.1543519617,6.32218171,6.6263744238,213.8458727187,604708,32.609664449,0.2219858088,7.7001487537,324.5676703423,456522,40.1657688005
50032,session_1,anat_1,PITT,9.2474506338,5381926,10.0506315403,10.0721764125,134.6967404537,261202,58.6485842451,0.4777923121,94.4386598007,83.3657337531,6152410,103.2755943021,6.4227763441,6.030809113,6.4495536059,6.811807881,214.8656921365,587702,31.5262491617,0.1352580842,8.2945766561,316.0974260673,487775,35.424030087
50033,session_1,anat_1,PITT,8.8135306402,4881735,10.1748598987,11.1666601341,154.7709946578,213209,88.139596921,0.4386194913,100.5782857665,76.5683303418,6652601,111.1876299362,6.2535269549,5.7879900819,6.2764633457,6.7318292937,225.6174092418,568158,33.7916779361,0.1998430886,7.5252466476,339.2366116426,452408,39.4559797769
50034,session_1,anat_1,PITT,7.5940428497,5074809,7.8468997803,13.8276715829,141.6802569794,230213,65.6099374198,0.4436707253,137.4940955652,74.5194477862,6459527,104.1254279978,6.1049625444,5.8034662713,6.0827884015,6.4455470632,219.1632327664,562577,33.789585489,0.1424238824,9.4966738295,327.6675858721,432620,37.0015213703
50035,session_1,anat_1,PITT,9.9766413652,6737166,12.4963009577,8.9050896094,147.7432088916,235639,59.9492181477,0.4695029134,107.0081519131,113.5201370808,4797170,120.3087312491,5.2754977509,4.9873234698,5.195819777,5.6658890706,233.8161214737,550967,35.2824045472,0.1817316064,9.084299223,345.096801289,451213,40.7779797177
50036,session_1,anat_1,PITT,7.7541554517,4867401,8.0914765114,12.7261243729,147.7818031454,218862,72.2221389994,0.4228897344,115.3892715168,65.8723939861,6666935,100.7650506701,6.72162812,6.4251519433,6.7488832714,7.003389145,215.5885917061,559663,31.0252829873,0.1377858533,8.1409609103,318.5617281508,429569,36.2083684688
50037,session_1,anat_1,PITT,7.6543037071,5448210,8.6101105771,11.3350850444,129.5014468051,252280,67.9838510282,0.4650074103,115.5941208852,76.8307825043,6086126,97.1542919744,6.1187081079,5.8132472231,5.9952820818,6.5728142751,201.0028642798,586884,30.6068929134,0.1451239949,8.9233212298,298.5991999137,463700,34.3462358884
50038,session_1,anat_1,PITT,6.8477299393,5048169,7.4235882305,13.7759993653,136.4466574061,204452,67.6552128152,0.4244396924,132.2693353014,64.7116114957,6486167,96.4573518753,6.0826117252,5.7124853252,5.9948823792,6.5714914498,206.9894476051,523104,30.0343952307,0.0996741591,8.7170259835,309.2567943565,391391,36.5599491469
50039,session_1,anat_1,PITT,10.0084971868,4930573,10.2540085195,9.6069056136,132.5802977548,253027,47.3963321649,0.4951531683,83.4154031776,82.4047227316,6603763,101.665483288,5.5267350473,5.117018699,5.6220645353,5.8680339033,214.8012618655,528424,30.8697705712,0.1511223949,8.0363423314,313.3105538728,444055,33.4167705489
50040,session_1,anat_1,PITT,8.5252655179,5272621,9.0248368089,11.5791232673,135.2603965064,241812,51.7723804888,0.4556514103,109.4184918726,77.6582603967,6261715,104.0847227888,6.0222131102,5.747123418,6.1140413383,6.2156895167,223.5969034094,524254,32.8639656382,0.1017503439,8.6049489915,328.0966012871,435253,31.7373643499
50041,session_1,anat_1,PITT,9.5157775893,6956481,11.0431609448,10.3319334024,140.5044783378,296092,57.5785906891,0.4572522024,123.4937591309,109.7722889869,4577855,119.1328901735,6.4573496726,6.0418567313,6.4706141264,6.8872565056,236.2151214117,591294,36.594428278,0.1537061626,9.940296038,350.3123248454,463876,36.73089872
50042,session_1,anat_1,PITT,9.137682415,4888511,9.6497910348,11.0014986482,137.3595321287,253574,52.2631420897,0.4664736259,102.411109446,80.4949701504,6645825,107.7402899035,5.5210521516,5.1501615539,5.5295333829,5.9095839405,230.9129515251,504983,34.1324056093,0.1342371941,8.3416283172,337.0751145495,407684,36.0532325196
50043,session_1,anat_1,PITT,8.0393590966,4684762,8.3281390695,12.7631125004,132.9397131251,222536,66.4144731862,0.4463250261,105.8424635746,67.6702387623,6849574,97.9922707,6.1234962093,5.6467996153,6.2582388104,6.4974798513,203.6396743877,574794,31.4150193903,0.1463081796,8.1254933663,309.9326502502,421813,36.5790548408
50044,session_1,anat_1,PITT,9.1017665655,4977568,9.1782766484,12.4320922052,139.1493956995,272712,56.5469095722,0.4505380163,103.3451059453,76.2392753564,6556768,107.0269808726,6.7647115134,6.4845805107,6.6738724164,7.152992119,225.146969178,578094,36.2140886052,0.1267972632,8.3064913248,339.2521507552,459606,38.3757620629
50045,session_1,anat_1,PITT,11.9027510696,5359370,12.5088542,9.0342381223,147.0239306088,277845,61.9875936741,0.5109294418,79.0454076831,101.8517612891,6174966,114.862365941,5.664657117,5.3231996374,5.6337796283,6.0610426766,231.7435304664,651438,35.2235300054,0.1617191946,8.142373367,344.7514979461,541408,39.2623369388
50046,session_1,anat_1,PITT,7.2181939389,5095719,8.2611714788,11.5442305823,123.0723200862,211518,54.1692765521,0.4562445988,105.6137975298,67.1657107419,6438617,90.5500493241,5.9712288735,5.6593615192,5.9044353903,6.3715354647,197.0026196102,490531,28.4982316871,0.1197140188,8.130288896,292.3714880413,390594,32.8435825239
50047,session_1,anat_1,PITT,8.9904054584,5131772,10.5140700886,10.8133223519,132.9471151246,258902,63.0804938253,0.4612784944,95.4603602422,81.4700544969,6402564,107.847907916,6.3877746566,6.1103233933,6.3813662454,6.6845216357,213.0221556302,656402,34.6092039384,0.1286964814,7.7486695267,326.7141847286,513510,38.9270399446
50048,session_1,anat_1,PITT,7.5668549383,5327056,8.853252989,13.6641864404,151.2009891528,209270,78.222193457,0.411133316,127.9265854671,72.4592467232,6207280,110.0058398063,6.3111174388,6.1030091081,6.2177451301,6.6243188104,229.7814970781,548789,34.3621070688,0.1757317738,8.1844771423,350.7539965234,410169,42.4091271466
50049,session_1,anat_1,PITT,6.9752372106,5382875,8.4546989986,12.7195971233,154.5885101837,207784,71.5663005805,0.4148938561,147.435063459,74.8912037319,6151461,110.0161221292,6.0995461832,5.7006662783,6.1272791078,6.4968041636,233.3115665835,485113,32.9623718387,0.1242809837,8.857938496,340.8519316439,383404,34.1063550446
50050,session_1,anat_1,PITT,9.8973169584,5111214,10.709788459,10.4237787477,140.3117775485,267492,75.8071329189,0.4761376005,89.0452014706,84.6853810343,6423122,108.463923347,6.0072871798,5.7823615109,5.9206328625,6.3322979926,214.0637998043,668466,33.7987726774,0.1582295322,7.9072879318,325.7002651355,523506,39.1777447941
50051,session_1,anat_1,PITT,9.0326685026,5221329,9.6576251854,12.2091299131,143.0237090986,244674,73.6157879975,0.4589115106,111.4721726571,84.1181229484,6313007,111.4272607717,6.0104284789,5.7205234198,6.1067895911,6.2153754647,218.6883576777,647242,34.1729691848,0.1316501986,8.7100214942,336.5995582183,489382,38.8904375047
50052,session_1,anat_1,PITT,7.0775399943,4938948,9.0085902853,12.7121417834,121.4248896934,353560,52.2317363915,0.4484010666,127.1036249747,75.7963727077,6595388,104.5790911289,5.744903031,5.3558853494,6.0106991822,5.8896749442,226.0760843188,490377,39.4714207101,0.108403652,8.4137884295,340.5945612936,392814,41.9443018143
50053,session_1,anat_1,PITT,5.7459021146,4898014,8.1017715275,13.3565748427,136.1121993993,268005,76.584122211,0.4081021644,153.2991689018,66.6198373135,6636322,103.3701470277,5.9344661546,5.6629900904,6.1044865428,6.0457492937,218.0651070526,489993,37.3732760861,0.1191593164,8.2228728726,326.2770248178,379244,43.1808269991
50054,session_1,anat_1,PITT,6.9867286868,5054059,7.7377057118,14.3070301773,141.9648552194,224443,86.4264417467,0.4009360253,133.7011851669,63.8518621966,6480277,102.2470010763,6.517358005,6.2610852878,6.4613638662,6.8429180669,208.8262481256,597536,31.169956105,0.1333435166,8.2520406662,319.5298372471,429547,43.1075643644
50055,session_1,anat_1,PITT,8.5004764857,4768244,8.5639573904,12.3039578446,141.0563700696,218467,65.9905107324,0.4500459614,100.1125432186,69.1653422685,6766092,98.9570019564,6.4436136283,6.1296186301,6.4808826766,6.7347318959,217.8253742694,529899,29.7965274713,0.105671396,8.0763295653,323.1959449841,400393,36.0562579544
50056,session_1,anat_1,PITT,6.5743095555,4908541,7.4948909398,14.3624880882,138.3400995549,193461,83.1708189675,0.4088078549,133.0759735266,61.6290650405,6625795,97.1027093217,6.0755675999,5.7782853207,6.0992808922,6.3633034944,204.6987987937,526887,29.5877582611,0.099744914,8.2228101163,312.3440806387,383538,39.1403323408
50057,session_1,anat_1,PITT,6.1903837808,4958768,7.1997908037,15.7592900433,144.31890883,185379,89.52044325,0.3885859393,149.409754871,59.6005616549,6575568,99.590328936,6.1066188658,5.8437138876,6.1504713755,6.3358382156,214.6772079196,509269,31.6952057319,0.1001930318,8.2780963058,328.1407994466,364277,43.5511879435
50058,session_1,anat_1,PITT,10.4128395989,5050407,11.6424554432,9.4614657923,140.0179134512,289224,65.0866615582,0.4852321046,80.1463617437,87.2068733325,6483929,109.3096023938,6.2501191213,5.9008948361,6.2712957621,6.5976529368,228.4973802634,565324,34.554249111,0.1349495199,7.4904193328,338.6520741776,481709,39.4185597031
50059,session_1,anat_1,PITT,8.527341235,5327338,10.385627775,10.3594984326,157.6112498195,242315,89.0956784715,0.4539067158,118.1998613717,88.5245550264,6206998,116.2220167742,5.7677964383,5.3162758283,5.874077026,6.1444663197,235.9267518186,548901,35.0620737057,0.1076702849,8.5237558041,343.5166464755,466375,37.4098483376
50060,session_1,anat_1,PITT,9.9237000881,4914737,11.045500797,9.4070252538,139.91824499,272705,62.9811274281,0.4771188001,81.286635191,81.6041504931,6619599,106.1276414637,6.5382904801,6.2565710024,6.4628579926,6.9124472862,219.0138097182,624705,33.3809986674,0.1710063021,7.3879991494,322.9191146557,521108,36.2808961912
50102,session_1,anat_1,OLIN,3.6673523271,5269858,7.7946983261,10.8760520088,112.2024235125,313842,50.8993601649,0.4863422389,382.3490502198,127.5582765085,4101790,110.0081008783,4.55165,4.16134,4.72592,4.79499,175.2453226993,668548,27.6685615481,0.0413189502,16.364748342,260.0208670871,553024,37.1722365326
50103,session_1,anat_1,OLIN,6.4628422141,3947127,10.12757131,9.2666627775,118.6635385619,304977,53.2909330044,0.4902437546,139.7269548859,92.7543915859,5424521,107.5372275632,5.52113,5.17111,5.61325,5.79809,181.7322358402,626458,27.1560304258,0.0984931572,9.1586016772,275.5810239255,511170,33.3683418146
50104,session_1,anat_1,OLIN,6.9938195936,4839973,9.5542448063,11.6117171138,129.9191992839,337398,64.7561936924,0.505954061,237.4481405541,133.1849373576,4531675,124.7049061664,4.93909,4.43162,5.27682,5.15236,204.4327551322,754697,33.2109491164,0.0731628048,13.9398707127,315.3739430586,606940,36.1609808898
50105,session_1,anat_1,OLIN,4.3222251579,4553223,7.9055288705,10.3243968052,107.4692867079,283965,36.9855752699,0.4698264122,207.7160038146,87.1492234496,4818425,96.2662606355,5.51814,5.13156,5.76554,5.67923,167.8155260641,609517,25.8558366911,0.0504725993,11.0238321657,249.4353430782,485385,29.6894300877
50106,session_1,anat_1,OLIN,6.570881715,3737466,9.2130004036,11.6016138201,130.2635146505,273370,70.4776006599,0.4471825932,177.0979433743,88.618825235,5634182,121.7585002759,5.3174803169,4.6751802787,5.44107,5.9106503523,198.248386387,627164,30.9556650698,0.0826311196,9.618888674,305.1340591938,474104,41.5755604422
50107,session_1,anat_1,OLIN,6.2832838967,4490933,9.4815529491,10.4394494798,130.5999081171,378743,41.0786836049,0.5160658933,257.7710719884,132.3544341352,4880715,125.8276400189,5.02018,4.62478,5.16252,5.29913,208.0416730765,669545,31.3011818864,0.0651833372,13.9591515067,307.0238660789,575503,33.0759876826
50108,session_1,anat_1,OLIN,6.4499036219,4327229,9.1650381184,11.3756481042,133.0416544043,309211,47.4650549668,0.4885312289,210.7806600043,109.7716797514,5044419,120.1001883537,5.55307,5.25706,5.66638,5.74844,208.6508283016,645900,30.1445294408,0.0963092085,11.9772202072,312.9090767973,508924,33.3860428132
50109,session_1,anat_1,OLIN,5.4002260559,3717664,10.5516625247,9.6632951881,140.0396102041,304467,49.1045253885,0.4857078829,228.537551521,116.0286735866,5653984,136.5535598818,5.764,5.42024,5.77182,6.12128,219.1643090547,564625,32.244350594,0.0827716007,10.9962456925,321.1281387561,478653,37.6782241214
50110,session_1,anat_1,OLIN,8.6936772724,3645025,12.9222464093,8.5271583524,149.5773252347,350513,55.4472069983,0.5088462646,130.5684532041,117.2177711017,5726623,133.907654086,5.50929,4.99348,5.74995,5.82397,226.43953696,629492,32.2817182861,0.1576996043,9.0710057206,336.6295783608,562756,44.1574083671
50111,session_1,anat_1,OLIN,5.7110284986,5097693,9.2536942233,9.647064812,122.1626219006,322804,48.2377898179,0.4901415991,226.7764194047,119.8803408085,4273955,111.5538747342,4.97137,4.6566,5.10996,5.16347,188.8014812182,630157,28.6572126412,0.0533509962,12.9548629893,278.0724691409,536794,33.9284224498
50112,session_1,anat_1,OLIN,5.0516899766,4360652,9.4959650064,10.2912328741,129.7501923543,280732,37.5493434627,0.485995741,234.341198291,112.4793514104,5010996,120.2497890273,5.55519,5.36631,5.5826,5.72248,206.2125769229,576389,29.6906632473,0.0611209058,11.8449627115,303.9377641681,493767,31.1012768141
50113,session_1,anat_1,OLIN,5.3038853226,3601477,7.9252377162,13.3913018376,143.1598044411,258541,66.0743630266,0.449310364,276.7887578657,94.2720158553,5770171,127.6092419222,5.57518,5.10268,5.78431,5.87121,216.6904959212,580435,31.0943614076,0.0741298639,11.8951657011,322.8197463136,444407,35.7661610916
50114,session_1,anat_1,OLIN,4.5083346422,4291126,8.6706680923,10.8669439937,121.8991305156,322605,45.475729424,0.4755589547,316.1988268736,116.0473091151,5080522,129.3513349756,5.35972,5.10924,5.47838,5.5007,196.940619753,581877,28.6234561183,0.0526383984,13.3838947449,291.1642842997,479705,31.9762360025
50115,session_1,anat_1,OLIN,4.2001955482,4736429,7.846484507,12.5774173115,122.9228072971,251060,49.5751718576,0.460094783,326.4403244118,108.6332082691,4635219,118.5572605372,4.83257,4.53117,5.00435,4.97711,197.2065810159,564229,28.5582443725,0.0574270194,13.8448254339,295.895091089,440668,34.9641154241
50116,session_1,anat_1,OLIN,5.9288508901,4518384,8.558483235,11.4768456784,124.8509532372,280308,60.3517364534,0.4924017506,233.9874013845,110.3072581669,4853264,114.8750911007,5.04649,4.67972,5.14809,5.33463,190.5470498096,693701,29.0845706466,0.072273627,12.8886457026,288.7714411388,534265,34.7320099458
50117,session_1,anat_1,OLIN,6.3293197086,4227600,10.4652938044,10.2809739059,128.3670479793,320909,48.1156748592,0.4943842855,172.1779603051,108.7658462752,5144048,118.0035026521,5.50023,5.16206,5.69099,5.66411,204.8664148703,626432,32.0070599881,0.0742023843,10.3930045642,312.4598273909,512140,36.0963438189
50118,session_1,anat_1,OLIN,5.8631961852,3535033,8.7442735039,11.5818972578,111.6203793381,389257,69.6866632818,0.5070844411,225.875876851,104.1007584019,5836615,119.1594467116,5.05002,4.70641,5.18467,5.278,184.5013433371,744787,30.0642430074,0.0615202178,11.9050208522,285.7766206532,548390,39.0069126499
50119,session_1,anat_1,OLIN,5.245647643,4105132,8.6110076765,13.4348595062,150.0461267273,243373,70.9299264104,0.452486058,282.3197965016,105.5862162006,5266516,132.4913224212,5.58356,5.11489,5.64868,6.02492,222.2960202439,615691,33.6640731287,0.0628315971,12.2617723926,337.9836985846,463334,37.5076991468
50120,session_1,anat_1,OLIN,7.0539913248,3699298,10.5717885609,9.6366229765,133.5847121101,294887,50.8268494248,0.4687947598,132.1733623608,89.5222482745,5672350,115.4755649217,5.619580335,5.2501903129,5.79261,5.8352803478,204.2085460057,591481,29.6406263196,0.1157216856,8.4680324203,306.0848865548,466128,39.7225737728
50121,session_1,anat_1,OLIN,5.9686861547,4497691,9.9992755102,9.9629401466,123.240110089,348082,50.0808199947,0.5225714098,253.9899835735,136.6252915239,4873957,125.6076954604,4.87696,4.6119,4.90608,5.12665,194.2568359762,730949,30.7097864662,0.0598765011,13.6635190604,293.8790193943,604973,35.9603347025
50122,session_1,anat_1,OLIN,17.871473183,4009529,25.2169050549,7.7020144788,207.451369111,305125,93.2426630974,0.5030666472,104.5043420437,220.9006266569,3920327,225.9070853986,4.3759389567,3.9201602337,4.59644,4.6503755651,331.4323902866,602798,55.8982906864,0.1232710875,8.7600213498,525.65335813,491464,80.5978070028
50123,session_1,anat_1,OLIN,5.6339405231,4567490,9.4321151429,11.015611798,126.325185077,356068,49.1026215561,0.4904763018,276.7667795173,127.770215301,4804158,130.6989051203,5.18851,4.76732,5.28419,5.54466,205.5277649315,620585,32.752976262,0.074949042,13.5462951167,309.4282837802,528423,36.4226327538
50124,session_1,anat_1,OLIN,4.9264962578,4722916,8.7914744021,10.9017988893,121.4435427121,304106,43.8782423704,0.4699276956,252.2043095899,109.1679795695,4648732,117.0312713675,5.39527,4.95899,5.47946,5.77973,192.1477943223,574880,28.7027990374,0.0757280036,12.4174825037,287.9906801946,456340,33.9379739275
50125,session_1,anat_1,OLIN,5.4675030727,4086771,8.3651945255,11.5621329711,130.8671971851,294429,56.6124042185,0.4468582558,207.3547090497,87.6827367978,5284877,114.1063790608,5.79063,5.3999,5.94866,6.04469,210.3322110754,542953,31.800655099,0.062269699,10.481852697,307.0517025084,459939,33.5740303326
50126,session_1,anat_1,OLIN,6.7402567597,4592466,10.9830048757,9.8061106663,133.4324819672,305000,49.0734724442,0.4688472699,149.5459319353,104.1848674104,4779182,118.2316776662,5.70430034,5.3817303208,5.99757,5.7505603428,206.9830475983,568592,30.689475356,0.1272390476,9.4860075716,314.6836088576,479631,41.1340317716
50127,session_1,anat_1,OLIN,5.5875011666,3417983,9.3217192012,11.4471233497,140.9871801401,274886,57.9001867939,0.4620159359,216.2382485525,95.9016551989,5953665,127.8427469044,5.65798,5.22878,5.80006,5.97242,213.8917002115,591497,31.871503066,0.0901929588,10.2879794091,320.5985697385,451386,37.1035469541
50128,session_1,anat_1,OLIN,4.8027597503,5433825,8.3710104511,11.5321214771,126.2870989462,297030,56.0877750878,0.4713687435,352.3809327865,134.1727749063,3937823,121.7314156066,4.85397,4.45887,4.80146,5.34187,195.641602837,626015,31.1426166312,0.0700120081,16.0282651288,292.1771122453,505126,35.8287504559
