subject,session,scan,site,bg_mean,bg_size,bg_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,snr
50012,session_1,rest_1,PITT,39.2458727638,84754,67.8506829445,0.5603482237,69.7564003446,642.967162764,34030,123.0615594155,2.1179503987,2.0837376,2.4871450049,1.8331746591,-0.0115888,0.0505835,,9.4762076793
50013,session_1,rest_1,PITT,32.7870686625,86448,61.8068408905,0.5346506911,102.2635773473,699.1632957015,32336,108.3843467503,1.9215524933,1.8916608,2.151264,1.743485,-0.0111695,0.0339784,,11.3120697584
50014,session_1,rest_1,PITT,39.9641019948,85040,69.5471222256,0.5584317207,73.7585099204,680.3440601507,33744,108.2963754702,1.8930478835,1.872704,2.1296831504,1.700982364,-0.00623319,0.0377,,9.7824904666
50015,session_1,rest_1,PITT,40.3837143429,84063,67.9572892419,0.5677589566,71.6824332819,660.2021885067,34721,109.8969320942,2.0074700013,1.9947776,2.2309888,1.8178375,-0.00608053,0.0455248,,9.7149576723
50016,session_1,rest_1,PITT,43.026518102,79279,66.4173104354,0.6125572601,52.0270454109,563.2891522463,39505,92.429316575,1.8760827035,1.8165472,2.161248,1.6819175,-0.00721832,0.0572355,,8.4810593587
50017,session_1,rest_1,PITT,41.1196644216,83878,64.6673309044,0.5752714739,68.864839496,627.9406338859,34906,100.5933766195,1.9197666098,1.8241728,2.2075329684,1.7570001047,0.0031759,0.0536364,,9.7103224318
50019,session_1,rest_1,PITT,45.8189398842,78851,66.9157988944,0.6165699497,56.5201845257,601.4988838181,39933,99.701018382,1.9415052077,1.9014592,2.244944,1.7144475,-0.00756569,0.066792,,8.9888919172
50020,session_1,rest_1,PITT,48.9181579685,84584,78.0435828103,0.5801854909,51.2643268807,650.1424138564,34200,110.9970462524,1.9099168484,1.8767456,2.1772096,1.705055,-0.018349,0.0682772,,8.3305044495
50022,session_1,rest_1,PITT,49.4868651512,83410,77.655727399,0.5813605872,61.6107735451,712.3898442067,35374,122.0005212297,1.9465479099,1.8544064,2.2907744,1.7362375,-0.0100847,0.056726,,9.1736935326
50023,session_1,rest_1,PITT,40.0938934571,82431,70.2753379981,0.5731648604,75.4655998175,693.5255181947,36353,114.4992707639,2.0804786631,2.0495744,2.3612286199,1.8607525,-0.00773867,0.0415621,,9.8686898982
50024,session_1,rest_1,PITT,38.8443710834,84953,65.6400546365,0.5643972258,66.9378037365,615.2088125272,33831,104.6755614397,1.9224455025,1.8763552,2.2054592,1.716915,-0.0129698,0.058774,,9.3724603969
50025,session_1,rest_1,PITT,35.2549416836,88999,60.9561034023,0.5384813329,64.0222253311,555.2492268699,29785,95.5090923953,2.0529163576,1.9806016,2.2853728,1.9114326139,0.000149724,0.0511852,,9.1090013285
50026,session_1,rest_1,PITT,41.3149705861,81280,68.18105951,0.5876990993,68.5736452015,651.9403427681,37504,103.9396380739,1.9639453801,1.8829792,2.2326432,1.80187,-0.0139471,0.0571349,,9.561898091
50027,session_1,rest_1,PITT,34.6968902427,90430,62.4369218614,0.5145717847,89.919722799,668.4032566759,28354,109.4634724629,2.0200779576,2.008112,2.2544523312,1.8208526512,-0.00869646,0.0334876,,10.7052563892
50028,session_1,rest_1,PITT,36.1503001134,80733,63.3518776463,0.5820716223,79.7668268123,643.3935608372,38051,102.1267882451,1.9351598319,1.8727392,2.1778752,1.7768075,-0.0103108,0.0458025,,10.1558720079
50029,session_1,rest_1,PITT,41.308146034,78997,66.7410559211,0.5995167465,73.9452537458,666.3453056542,39787,107.5803871005,1.9869248947,1.9266976,2.2423550289,1.8156225,-0.0118859,0.0398401,,9.9840390065
50030,session_1,rest_1,PITT,39.0937807403,82047,64.337781958,0.5861977962,60.5248563768,577.0055954597,36737,100.3445457789,1.9911453211,1.9572512,2.25328,1.78998,-0.0102889,0.0491384,,8.9683787333
50031,session_1,rest_1,PITT,33.5630847139,81221,62.4672582768,0.5730400397,85.7085138312,648.2545797527,37563,103.4446450722,2.0353035958,1.93208,2.3712832,1.840255,-0.021352,0.0480623,,10.3775097169
50032,session_1,rest_1,PITT,43.6673068658,83316,70.7197797991,0.5856654747,52.4544651497,594.0582827665,35468,96.7548367002,1.9119180142,1.8665248,2.2039518319,1.69891,-0.00673047,0.0665467,,8.4001715567
50033,session_1,rest_1,PITT,31.4498443913,84828,57.6258315726,0.5486864962,94.4475322729,629.5884878455,33956,102.9926314173,1.872254258,1.8564224,2.0909152,1.6907575,-0.00689631,0.0357133,,10.9254560093
50034,session_1,rest_1,PITT,37.7137620159,85948,63.6680819987,0.5573477998,68.0974913123,601.8877426622,32836,102.9150907621,1.9538306406,1.9128064,2.2535616,1.7302976031,-0.00469561,0.0489252,,9.4535240228
50035,session_1,rest_1,PITT,35.1335885733,87173,59.9760819144,0.5438743847,77.9769808806,604.104456667,31611,108.7986399142,1.9813693752,1.9692032,2.2907904,1.7243325,0.00473194,0.0460172,,10.072422829
50036,session_1,rest_1,PITT,36.6416852996,85854,69.2071999116,0.5511838184,64.8205259512,622.4363948824,32930,100.1132154421,1.9210809373,1.8500064,2.1826334335,1.7558275,-0.00491908,0.0374079,,8.9938098301
50037,session_1,rest_1,PITT,39.8089917524,83574,63.1961581427,0.5820424632,57.948087599,561.2642122535,35210,90.7164942178,1.8183701403,1.7839456,2.1027552,1.602795,-0.00750817,0.0590656,,8.8813027366
50038,session_1,rest_1,PITT,36.0590990085,88054,59.8715742889,0.5434683388,73.0553095309,589.4182229358,30730,97.1423565926,1.9460321455,1.9225952,2.1955392,1.74591,-0.013352,0.0385717,,9.8447089447
50039,session_1,rest_1,PITT,35.513597275,84837,56.9614949855,0.568334441,69.2065786735,551.2071524537,33947,89.3277723017,1.813209549,1.7643968,2.1030048,1.6065975,-0.00195718,0.0379411,,9.6768378813
50040,session_1,rest_1,PITT,39.9293171621,85841,63.2644147803,0.5663545274,61.4981394148,578.1967124931,32943,99.3809298883,1.9420594225,1.8992416,2.2803552,1.6912376008,-0.0111429,0.0564092,,9.1393671229
50041,session_1,rest_1,PITT,47.2836004489,82514,77.3044067821,0.5917852021,47.3626708303,614.0582115846,36270,108.4728270212,1.9805972023,1.9234208,2.2399296,1.8033525,-0.00393478,0.0716741,,7.9433791312
50042,session_1,rest_1,PITT,43.471657122,87232,67.4867380799,0.5600517823,62.2129771935,624.4211415727,31552,104.4923247703,1.8272913909,1.8041504,2.0791584,1.626535,-0.000561944,0.0433065,,9.2525014446
50043,session_1,rest_1,PITT,37.4962906128,85613,63.4393863541,0.5606373905,65.3048836835,587.1345224304,33171,99.3917182629,2.0221473247,1.9265952,2.32936,1.8425176098,-0.0102417,0.0427994,,9.2550473164
50044,session_1,rest_1,PITT,41.2757694057,83029,66.7911865524,0.5806353666,62.9382712718,614.4298057601,35755,102.5489321337,1.8578717992,1.8509856,2.1053056,1.64562,-0.00822033,0.055379,,9.1992647155
50045,session_1,rest_1,PITT,44.417141341,83197,72.11302297,0.5813296094,61.2145966322,654.5502964862,35587,103.8012942486,1.8789208813,1.8226528,2.1617152,1.6835375,0.00474365,0.0649361,,9.076728024
50046,session_1,rest_1,PITT,41.1009484139,88341,63.5444373538,0.5592054995,54.5741678175,551.5444664447,30443,91.2357666396,1.9851360685,1.961056,2.2804032,1.7493176043,-0.00650916,0.0431893,,8.6796655917
50047,session_1,rest_1,PITT,40.3582550487,82139,67.8745021107,0.5846462981,59.4253056642,599.9883245596,36645,102.8186818775,1.9312372109,1.8940544,2.2343585705,1.7020076014,-0.00796155,0.0503134,,8.8396718341
50048,session_1,rest_1,PITT,31.4331675262,87205,60.7044287389,0.527700382,102.9811047481,685.3678115693,31579,106.9913390709,1.9173145182,1.8668768,2.1782784,1.7332126033,-0.0127584,0.041427,,11.2902439873
50049,session_1,rest_1,PITT,30.6661908956,89180,58.094085846,0.5187822838,94.3531221431,630.5022636766,29604,97.8370536787,1.7908076906,1.7574016,2.0135616,1.6229725,-0.00763335,0.038287,,10.853123076
50050,session_1,rest_1,PITT,39.3645760252,80466,63.2645985686,0.5925069673,72.1643894901,625.1334485565,38318,99.3988865926,1.9392270026,1.8879328,2.1840832,1.7686,0.000556637,0.0464882,,9.8812521173
50051,session_1,rest_1,PITT,37.309444268,81221,68.4126199468,0.5804022751,67.5147013386,631.498891694,37563,105.6257945625,1.9451892391,1.8783168,2.2538496,1.7385675,-0.0081287,0.0397843,,9.2307368463
50052,session_1,rest_1,PITT,35.6935240487,86245,60.8327169187,0.5490213114,72.3811567334,586.6772072328,32539,126.0705227201,2.2532628439,2.2071104,2.5282113929,2.0502101222,-0.00171951,0.0508868,,9.6441066082
50053,session_1,rest_1,PITT,30.9125877798,88740,57.2887857435,0.5200315814,97.5307073254,632.4982140023,30044,114.845835674,2.2768229635,2.1835584,2.596784,2.0815476241,-0.00159658,0.0346853,,11.0405240012
50054,session_1,rest_1,PITT,29.1823131489,83512,56.6627381123,0.5509972846,105.122919008,645.6190871531,35272,100.6673231368,1.9710010371,1.8875712,2.2244352,1.823635,-0.0177235,0.0382297,,11.39406793
50055,session_1,rest_1,PITT,44.5482813548,88586,74.1043112414,0.5531450604,51.4143466193,611.5273284902,30198,101.4236471488,1.9905116677,1.9853056,2.215119831,1.79337,-0.00947576,0.0289374,,8.2522503515
50056,session_1,rest_1,PITT,31.8221781273,88164,60.612671774,0.5276759514,84.8256080657,622.5898418743,30620,99.7005438171,1.8844498757,1.8503296,2.1208318382,1.7052925,-0.00925434,0.0379213,,10.2716119196
50057,session_1,rest_1,PITT,31.4297741238,89440,61.6021611046,0.5160181643,86.7921464349,635.2610880388,29344,107.2388672313,2.0382539114,1.9906752,2.3247776,1.8297576091,-0.0158679,0.0432088,,10.3123182149
50058,session_1,rest_1,PITT,46.5423530275,83207,75.7690356624,0.5865325507,51.3124811796,628.1014202395,35577,106.4259423154,1.8676094311,1.8541952,2.0597536,1.7056425,0.00322657,0.0531453,,8.2896847604
50059,session_1,rest_1,PITT,38.4187328674,84014,66.8221988112,0.5673019882,68.3638286394,629.0137750729,34770,102.4766042447,1.8671673473,1.8308064,2.1268,1.6717925,-0.00571878,0.0497333,,9.4132456917
50060,session_1,rest_1,PITT,48.137969168,80468,76.7104032486,0.606010269,48.2151845793,621.0193708579,38316,99.3905239286,1.9021833295,1.8488,2.160192,1.72336,-0.00718653,0.0673617,,8.0956342889
50102,session_1,rest_1,OLIN,32.0627685985,95761,51.9326033169,0.4888535194,89.1556623709,566.0712209038,23023,107.9006678815,1.9331802819,1.9222225455,2.180378333,1.7237758356,-0.0139162,0.0271487,,10.9001125449
50103,session_1,rest_1,OLIN,34.1480397178,95709,54.4286538865,0.4957145626,79.4995324072,563.4461193281,23075,103.6120888347,1.781688538,1.7762938182,2.001093957,1.591158,-0.00508352,0.0232919,,10.352012756
50104,session_1,rest_1,OLIN,30.42255342,91472,52.0176420251,0.507235738,98.7593177342,586.9534613089,27312,118.7386893996,1.8420947251,1.7905483636,2.1748656054,1.6051558469,-0.0130264,0.0363581,,11.283738333
50105,session_1,rest_1,OLIN,29.5437710687,97497,46.7167354815,0.4893074264,73.312765118,465.1036656618,21287,87.7293452477,1.7586269107,1.8036858182,2.0199649508,1.49285,-0.017317,0.0248998,,9.9558254846
50106,session_1,rest_1,OLIN,26.8466921801,96004,47.7769485398,0.4634883165,128.6822401611,608.5985285851,22780,127.006117085,2.0170690629,1.9834299557,2.298446386,1.8001561717,-0.0159913,0.0320725,,12.7383298261
50107,session_1,rest_1,OLIN,30.5642002262,93389,48.5944244435,0.5013459801,97.0133712197,554.3924335508,25395,111.0854032737,1.7569656139,1.7072202452,2.0272026279,1.567126,-0.0058412,0.0520359,,11.4085605478
50108,session_1,rest_1,OLIN,32.056560573,96232,54.2216786052,0.4782797442,97.2017500481,610.2915569379,22552,114.7572563169,1.7605705279,1.7267083636,2.0357178182,1.5524718519,-0.0123581,0.0399889,,11.2554899191
50109,session_1,rest_1,OLIN,32.7319700025,97832,52.839816022,0.4746091141,90.2398987555,578.8052312657,20952,116.6541940231,1.8859428208,1.8965352727,2.0987402181,1.6852578393,0.0119251,0.0172723,,10.9539600029
50110,session_1,rest_1,OLIN,27.4375816551,94205,52.466919931,0.4781673207,108.4005985667,605.7867563764,24579,114.2111454036,1.8836654253,1.8745512727,2.1319794885,1.672366,-0.00786382,0.0371533,,11.5460704988
50111,session_1,rest_1,OLIN,37.3436779156,95332,57.9676900829,0.5013547096,78.0700405141,598.3041927805,23452,115.0625250004,1.8843639077,1.9273134545,2.1156596364,1.640954,-0.00851576,0.023113,,10.3213392137
50112,session_1,rest_1,OLIN,34.236627245,96670,56.407469284,0.4848813556,83.1054136782,591.1245687608,22114,111.4205027075,1.7722247452,1.7610036364,2.0636887273,1.5316242921,-0.0112123,0.0346224,,10.4795442211
50113,session_1,rest_1,OLIN,29.567179856,98055,53.2548255159,0.4581596754,104.347785614,612.545894909,20729,109.3472535628,1.7696724074,1.7504290909,2.0273890909,1.5616998511,-0.0150686,0.0300302,,11.5021669675
50114,session_1,rest_1,OLIN,29.097797762,95586,48.6891464886,0.47835731,109.5384939164,582.0089228814,23198,116.8527431872,1.8499282473,1.8461703099,2.0448526473,1.6769938401,-0.01405,0.0352562,,11.9535659352
50115,session_1,rest_1,OLIN,29.4218745021,97971,49.8519304849,0.4614716963,110.3188700175,597.2164900949,20813,113.8861884222,1.7048989667,1.7009485996,1.9320084593,1.507982,-0.0127897,0.0321764,,11.9798066852
50116,session_1,rest_1,OLIN,31.354469385,93948,53.5449197362,0.4980294429,85.4467839418,564.1416888805,24836,103.5876560907,1.7078849996,1.6923752727,1.9281397701,1.526656,-0.00670148,0.0415871,,10.5358583346
50117,session_1,rest_1,OLIN,32.7713194948,94911,53.6083285316,0.4899489887,91.1791589991,585.7316882842,23873,129.9202863309,1.8936531013,1.8351330909,2.1073805098,1.7558636651,-0.00687936,0.0356121,,10.9261322695
50118,session_1,rest_1,OLIN,34.3271586043,92205,58.2005889986,0.5086065221,76.1893369422,571.7372593866,26579,144.86444139,2.2396142506,2.2244770909,2.5445932781,1.9846016215,-0.00264747,0.0382924,,9.8235648337
50119,session_1,rest_1,OLIN,25.857311275,98722,43.0151759391,0.453530127,123.4542724625,548.7997530991,20062,98.9547487644,1.844739277,1.8249166168,2.1085176719,1.631492,-0.00988295,0.0242187,,12.7582821904
50120,session_1,rest_1,OLIN,30.6385413521,98043,49.5800523873,0.4643328715,109.9567587612,599.7292094329,20741,117.6309120114,1.9224276002,1.9062895868,2.2176148531,1.680644,-0.00639288,0.0336304,,12.0961794221
50121,session_1,rest_1,OLIN,33.5654351906,91950,54.3385442402,0.5174052557,78.6452297134,555.4463147216,26834,110.936784606,1.8237522069,1.8279592727,2.0865453098,1.5903878483,-0.00462292,0.0326096,,10.221957958
50122,session_1,rest_1,OLIN,23.5858652377,96156,45.4408886512,0.4583520593,128.8188113095,571.3855651157,22628,105.7101555718,1.8716981868,1.7953833973,2.177826607,1.676978,-0.0147576,0.0311994,,12.574260365
50123,session_1,rest_1,OLIN,31.6320484715,93599,48.9338763952,0.4987141075,102.9235042092,578.2513648664,25185,122.6919415259,1.9719524939,1.9951738182,2.2786183399,1.6866938391,-0.00679163,0.0308222,,11.8169948401
50124,session_1,rest_1,OLIN,30.2188396693,96690,50.3404972809,0.4750945748,100.1350170427,576.7046720395,22094,112.3261825721,1.8333214884,1.8452394007,2.0124071332,1.659382,-0.0127098,0.0292467,,11.4560781714
50125,session_1,rest_1,OLIN,26.7994116131,98056,47.7816521757,0.45368344,114.7490178407,575.0338167266,20728,117.3584429581,1.9394886936,1.9193339513,2.1739317871,1.748502,-0.00706517,0.0311192,,12.0346156012
50126,session_1,rest_1,OLIN,29.5399174928,97017,50.1728580201,0.4704208027,102.2736396891,578.2114966377,21767,111.1224130898,1.8692052335,1.8254895812,2.1789291523,1.6419061566,-0.0120373,0.0314705,,11.524388274
50127,session_1,rest_1,OLIN,28.9140837687,98123,50.9295397682,0.4587475873,104.9939522158,589.1890837347,20661,114.0323503848,1.8487085593,1.8332858182,2.1153044338,1.629306,-0.0050763,0.0305111,,11.5687101516
50128,session_1,rest_1,OLIN,30.6218689276,96211,50.7198808926,0.4786112857,100.5492572732,583.4705818588,22573,111.7106478344,1.8924670202,1.9088317352,2.1209602942,1.674114,-0.0136984,0.0254335,,11.5037845435
50129,session_1,rest_1,OLIN,26.5430788138,99227,50.1305847488,0.4412579363,117.5304293048,604.7716901439,19557,111.6028096724,1.8720628901,1.8297248371,2.1420482971,1.673966,-0.0169058,0.0264245,,12.0639265066
50130,session_1,rest_1,OLIN,39.1039842389,95261,65.4249000445,0.5005705947,65.396620489,602.5520645133,23523,129.8699134496,1.8393730348,1.8299170909,2.0984609454,1.620604,-0.0116116,0.0309818,,9.2098278194
50131,session_1,rest_1,OLIN,35.4256715294,93052,51.225127072,0.5248395099,69.23036821,506.6064187542,25732,109.0740190507,1.9385720868,1.966176,2.1918285157,1.690506,-0.0076124,0.0433963,,9.8898030656
50132,session_1,rest_1,OLIN,37.4775990399,88058,55.5474894222,0.5480754268,78.657282613,582.5659465505,30726,117.4774276589,1.8498691942,1.840608,2.0977336727,1.6394981564,-0.00951381,0.0469103,,10.4877097527
50133,session_1,rest_1,OLIN,22.8945761606,93017,38.2126100698,0.4871219134,135.3673228299,507.3919877156,25767,105.6761452717,1.938561698,1.8991973544,2.2384345986,1.7136598366,-0.0132945,0.0267519,,13.27812957
50134,session_1,rest_1,OLIN,32.7766546395,96543,55.1142158834,0.476249878,97.4719733118,621.3896279225,22241,121.0992341413,2.0053637113,1.9778443636,2.2456554285,1.8157018268,0.00560405,0.0290532,,11.2745798514
50135,session_1,rest_1,OLIN,28.5717197708,93824,49.6320390555,0.487898693,110.7225036946,593.1091882498,24960,106.464131647,1.9919843327,1.9538910446,2.311223433,1.7503118331,-0.0152143,0.0272939,,11.9501273681
50136,session_1,rest_1,OLIN,32.9036798088,90350,54.5733562037,0.5201932602,85.4151929568,574.5738850373,28434,129.4009993662,2.2720577849,2.2069498182,2.6512496384,2.00454,0.00386132,0.0539147,,10.5284689271
50137,session_1,rest_1,OLIN,32.4185302604,91941,52.3454059918,0.5151246571,83.6502419554,552.015080204,26843,111.4121158443,1.8521953729,1.8257078896,2.1196946925,1.6419336868,-0.00840587,0.0372921,,10.5456261107
50142,session_1,rest_1,OHSU,41.6650039954,119603,71.0556859979,0.4619914239,137.0627237526,943.2645293418,27853,200.2658668139,1.9719754962,1.829581217,2.1061997322,1.9899999001,-0.0233623,0.0303901,,13.27500419
50142,session_1,rest_2,OHSU,41.222659577,119619,70.0718916422,0.4612303831,140.7073157704,943.3546892872,27837,199.9369471276,1.9761145147,1.8230985508,2.1239063966,1.9929288473,-0.0225274,0.030622,,13.4626690843
50142,session_1,rest_3,OHSU,40.208898107,119876,68.9350067143,0.4579277676,145.9201803549,943.2322081204,27580,198.831176594,1.9525733492,1.8245732173,2.0740637363,1.9671551644,-0.0212992,0.0305977,,13.6829203779
50143,session_1,rest_1,OHSU,44.8829464032,120137,74.9646362687,0.4705933318,108.4739086929,892.3194598252,27319,178.3649075682,1.9440830418,1.7930747807,2.1271788019,1.9263813614,-0.0248427,0.0286626,,11.9032053544
50143,session_1,rest_2,OHSU,45.4822831038,120193,76.137440193,0.4709077165,106.436519124,897.2796322307,27263,178.9030590042,1.9572859541,1.8136934486,2.1287681353,1.9420945175,-0.024961,0.0284249,,11.7849986808
50143,session_1,rest_3,OHSU,45.5293661403,120300,76.3135215924,0.4702747268,106.3321495818,898.6405780956,27156,179.04404539,1.9527779016,1.8010934478,2.1282134686,1.9427076753,-0.0252439,0.0283906,,11.7756402711
50144,session_1,rest_1,OHSU,41.1479123034,117711,71.0936253228,0.4752179124,127.7283676679,910.2733118326,29745,182.0728775461,1.9826113522,1.8310161164,2.1428131971,1.9862633074,-0.0200206,0.0283051,,12.8038668404
50144,session_1,rest_2,OHSU,41.0592831216,117858,71.1424595941,0.4741528507,128.2684759948,912.4101635081,29598,181.2809307394,1.985080427,1.8218374492,2.1506345299,1.9964475187,-0.0195027,0.027721,,12.8251141261
50144,session_1,rest_3,OHSU,40.9788472411,117896,70.9340697478,0.4738352607,129.0739903207,912.8882597232,29560,180.9231464259,1.9635171733,1.814282782,2.1216238651,1.9666712007,-0.0195538,0.0280959,,12.869531707
50145,session_1,rest_1,OHSU,38.8477660588,121692,68.3465817849,0.4482241508,138.6659859189,907.0469078016,25764,184.9708981736,1.9684472337,1.8460401174,2.0931650672,1.9739026563,-0.0228452,0.0226942,,13.2712841537
50145,session_1,rest_2,OHSU,38.8476462278,121743,67.8122464442,0.4480397937,140.6150642021,908.1484943509,25713,184.4829548485,1.9650144234,1.8468027841,2.0910957341,1.9647237089,-0.0227561,0.0225966,,13.3921016036
50145,session_1,rest_3,OHSU,38.9140928847,121767,68.2052625144,0.4479509807,139.3508954309,908.3973427545,25689,184.4534836553,1.9638913926,1.8494161176,2.0953170669,1.9546447614,-0.0227124,0.0229011,,13.31858143
50146,session_1,rest_1,OHSU,36.2079773888,118085,63.8993174046,0.4648984008,156.0976922845,900.6492405345,29371,175.6741984022,1.9543338078,1.7651093333,2.1294665313,1.9858844846,-0.0221721,0.0306131,,14.0948178653
50146,session_1,rest_2,OHSU,36.1153362762,118206,63.984124745,0.4639572232,156.2441373208,901.4844128638,29250,175.5043364533,1.9563090677,1.7684373333,2.1117251991,2.0048634346,-0.021719,0.0308559,,14.0891887864
50146,session_1,rest_3,OHSU,35.626431158,118251,62.3152709028,0.4631448979,163.1150009022,899.9297155571,29205,174.9074722473,1.9558789708,1.7914026667,2.1138078656,1.9759107991,-0.0212982,0.0307275,,14.44155987
50147,session_1,rest_1,OHSU,36.4722784547,119840,66.8437935614,0.4589501456,129.3489054347,850.6935040009,27616,162.5273794859,1.8592185551,1.733944,2.0041894608,1.8493420124,-0.0202477,0.0278579,,12.7265892415
50147,session_1,rest_2,OHSU,36.7343541527,119865,67.3580345379,0.4592502134,127.5628760705,851.2026165133,27591,162.5681026238,1.8556636185,1.735984,2.0017601273,1.8388209603,-0.0205376,0.0281226,,12.6369871442
50147,session_1,rest_3,OHSU,36.9096975912,119886,67.9652103812,0.4594036396,125.5413143976,851.2513374919,27570,162.4031616314,1.852533469,1.7303866667,1.996784127,1.8400235919,-0.0205421,0.0283482,,12.5248098655
50148,session_1,rest_1,OHSU,37.7031467575,118505,66.5568083418,0.4676881178,135.1513862348,872.5836166618,28951,171.3627643355,1.8393515631,1.7179813333,1.9955890796,1.8151179883,-0.0222308,0.0302544,,13.1103584802
50148,session_1,rest_2,OHSU,37.6528320967,118481,66.0469716187,0.4677329917,137.1484518718,873.5451633821,28975,171.9525619676,1.8465676321,1.726944,2.0035357452,1.8197811451,-0.0219269,0.0305273,,13.2261198655
50148,session_1,rest_3,OHSU,37.6073777627,118553,65.9338238528,0.4672109582,137.8359043209,874.4132582303,28903,171.7080755552,1.8377984357,1.719608,1.9907677469,1.8131890414,-0.0218659,0.0303252,,13.2619831087
50149,session_1,rest_1,OHSU,40.6935190794,120393,71.5896007859,0.460292945,121.4705601912,888.7557867093,27063,183.6729607764,2.0342255075,1.8788587861,2.1840186667,2.051381476,-0.0228026,0.026702,,12.4145934179
50149,session_1,rest_2,OHSU,40.6959584728,120387,70.9098978269,0.4604517667,123.6017836513,890.1343603042,27069,183.8046576037,2.0642579515,1.9002747875,2.2332666667,2.0726920012,-0.0226361,0.0273052,,12.5530340275
50150,session_1,rest_1,OHSU,37.700798476,123192,69.0884529793,0.4334253647,149.7286365057,943.0695576702,24264,194.9546711685,2.0350060537,1.9081065454,2.1651548043,2.0398868677,-0.0181782,0.0219342,,13.6501762162
50150,session_1,rest_2,OHSU,37.6304527273,123222,69.01187193,0.4330284974,150.6492931493,944.8597149326,24234,194.7533862935,2.0298236517,1.9096345453,2.1582001372,2.0292421307,-0.0178541,0.0215017,,13.6912633799
50152,session_1,rest_1,OHSU,36.7554180073,121470,63.6648709282,0.4466592521,153.8230845266,892.9292437258,25986,184.0431012271,1.9388398221,1.7552188899,2.152008,1.9295292137,-0.0217144,0.0224499,,14.025462248
50152,session_1,rest_2,OHSU,36.726786965,121473,63.3855392558,0.446556603,155.1776280912,893.6450415355,25983,184.5758075052,1.9438629296,1.7674428914,2.1548906667,1.9285318451,-0.0215794,0.0229076,,14.0985633636
50152,session_1,rest_3,OHSU,36.9431576308,121520,63.59419146,0.4465576447,155.1415720203,897.2714466188,25936,184.3147686296,1.9522418551,1.7714988919,2.1556746667,1.9483976374,-0.0216059,0.0228651,,14.109330208
50153,session_1,rest_1,OHSU,36.0971414013,123605,64.6010681422,0.4276612263,165.6006991159,929.21880935,23851,208.3062218455,2.1507234905,2.0186426667,2.2747682893,2.1664895009,-0.0175839,0.0162668,,14.3839542607
50153,session_1,rest_2,OHSU,36.2041922614,123647,64.7591829424,0.4275735619,165.3869020427,931.2481481541,23809,207.603228434,2.146929611,2.023904,2.2740482892,2.1501237112,-0.0173608,0.0160754,,14.3801713648
50153,session_1,rest_3,OHSU,36.1783341794,123622,64.2937663642,0.4278714661,166.9062249304,930.2173091306,23834,207.5079558981,2.1650494345,2.0378666667,2.2951656252,2.1697710799,-0.0173289,0.0164655,,14.4682348186
