subject,session,scan,dvars,gcor,mean_fd,num_fd,outlier,perc_fd,quality,site
50123,session_1,rest_1,1.0721733448,0.1120687569,1.0522285299,72,0.0125299048,34.1232227488,0.0753179248,OLIN
50124,session_1,rest_1,0.9108600692,0.3318578643,0.2084907893,4,0.008933619,1.8957345972,0.0216260771,OLIN
50125,session_1,rest_1,0.8522499079,0.7575264879,0.0790326561,0,0.0187404286,0,0.0064921564,OLIN
50126,session_1,rest_1,0.9645190967,0.3115651166,0.2458430217,9,0.0120551429,4.2654028436,0.0223973591,OLIN
50127,session_1,rest_1,0.982086901,0.4687811032,0.101261261,0,0.007536,0,0.0093088494,OLIN
50128,session_1,rest_1,1.0878677328,0.4155820485,0.1345955957,0,0.0078850476,0,0.0121593112,OLIN
50129,session_1,rest_1,0.875378207,0.3818182715,0.1322815619,0,0.0072391429,0,0.0215640624,OLIN
50130,session_1,rest_1,1.0730537999,0.4929344333,0.0702632572,0,0.0074332381,0,0.0062786942,OLIN
50131,session_1,rest_1,0.9885430743,0.3616603986,0.0703339972,0,0.0067041429,0,0.0119817176,OLIN
50132,session_1,rest_1,1.0359310096,0.4201070326,0.0837826099,0,0.0070465714,0,0.0099038078,OLIN
50133,session_1,rest_1,0.9662000265,0.4675635311,0.0658470547,0,0.0081579048,0,0.008720194,OLIN
50134,session_1,rest_1,0.8561700696,0.4045214742,0.1182127769,0,0.0070886667,0,0.0152195708,OLIN
50135,session_1,rest_1,0.9254514784,0.2309239923,0.4804584918,23,0.0056317619,10.9004739336,0.0423458362,OLIN
50136,session_1,rest_1,0.9661910611,0.4218751102,0.133082344,1,0.0090995238,0.4739336493,0.0139842734,OLIN
50137,session_1,rest_1,1.0807267442,0.36728761,0.1269611501,0,0.0067292381,0,0.012217742,OLIN
50142,session_1,rest_2,1.1955313373,0.0193487742,0.0468030002,0,0.001255,0,0.0033933812,OHSU
50142,session_1,rest_1,1.2536272524,0.0484453148,0.0479706613,0,0.0010826829,0,0.002657598,OHSU
50142,session_1,rest_3,1.2216323856,0.0267903147,0.0432204004,0,0.0019032927,0,0.0022431205,OHSU
50143,session_1,rest_2,1.2113103472,0.0271218403,0.0735697848,0,0.0028559756,0,0.0046541996,OHSU
50143,session_1,rest_1,1.2182396758,0.0334202874,0.0516191195,0,0.0019702439,0,0.0037598059,OHSU
50143,session_1,rest_3,1.2018960822,0.0222155432,0.0848204188,0,0.0023442683,0,0.005039522,OHSU
50144,session_1,rest_2,1.3394585468,0.0496371719,0.144045071,1,0.019379878,1.2048192771,0.0081360713,OHSU
50144,session_1,rest_1,1.3443719546,0.1080065878,0.0599301444,0,0.0063371951,0,0.0036710949,OHSU
50144,session_1,rest_3,1.3763528799,0.0980210531,0.0467307156,0,0.0069185366,0,0.0039224717,OHSU
50145,session_1,rest_2,1.3394657014,0.0593774935,0.1165620004,0,0.0062697561,0,0.006746855,OHSU
50145,session_1,rest_1,1.3029366046,0.0443208461,0.0915898816,0,0.0030237805,0,0.0063532373,OHSU
50145,session_1,rest_3,1.2987039511,0.0324406603,0.101276592,0,0.0022686585,0,0.005970817,OHSU
50146,session_1,rest_2,1.2435630026,0.0376361078,0.0446970805,0,0.0021292683,0,0.0036180552,OHSU
50146,session_1,rest_1,1.3147473177,0.0568952996,0.0617812846,0,0.0014789024,0,0.0040807298,OHSU
50146,session_1,rest_3,1.2502048875,0.0500125676,0.1263354952,0,0.0029589024,0,0.0064947602,OHSU
50147,session_1,rest_2,1.2515545027,0.0699542495,0.0500189622,0,0.0010910976,0,0.0032411657,OHSU
50147,session_1,rest_1,1.2342113687,0.0750593656,0.0474048541,0,0.0009860976,0,0.0033779589,OHSU
50147,session_1,rest_3,1.2571109498,0.0571601242,0.054777605,0,0.0011036585,0,0.0031443715,OHSU
50148,session_1,rest_2,1.212124883,0.0509521109,0.0882299463,0,0.0026810976,0,0.005358185,OHSU
50148,session_1,rest_1,1.2755282843,0.0675323618,0.0581726023,0,0.0048289024,0,0.0039864022,OHSU
50148,session_1,rest_3,1.2663508414,0.0251399325,0.0765787116,0,0.0026095122,0,0.0039680952,OHSU
50149,session_1,rest_2,1.2430728189,0.0623053807,0.1913364778,2,0.019390122,2.4096385542,0.0086431506,OHSU
50149,session_1,rest_1,1.1730513514,0.0197940334,0.0733135935,0,0.0034410976,0,0.0036904478,OHSU
50150,session_1,rest_2,1.2519861471,0.0424207055,0.0660758738,0,0.002219878,0,0.0022153413,OHSU
50150,session_1,rest_1,1.2294070486,0.0247969123,0.0529670241,0,0.0012463415,0,0.0023759506,OHSU
50152,session_1,rest_2,1.2971802045,0.0692547299,0.0676664829,0,0.0022269512,0,0.0038797135,OHSU
50152,session_1,rest_1,1.2870220452,0.0690736589,0.0603233226,0,0.0037003659,0,0.0040550184,OHSU
50152,session_1,rest_3,1.2112871923,0.0371938801,0.1169736833,0,0.0046326829,0,0.0068202883,OHSU
50153,session_1,rest_2,1.3076689282,0.0347962174,0.0577673422,0,0.0043779268,0,0.002961101,OHSU
50153,session_1,rest_1,1.2568284185,0.043282336,0.091911525,0,0.0028839024,0,0.00321838,OHSU
50153,session_1,rest_3,1.2940692184,0.0280564725,0.138248315,0,0.0166213415,0,0.0067969978,OHSU
50155,session_1,rest_2,1.2481464386,0.0691918522,0.1376326365,3,0.0166393902,3.6144578313,0.0051040815,OHSU
50155,session_1,rest_1,1.2481464386,0.0691918522,0.1376326365,3,0.0166393902,3.6144578313,0.0051040815,OHSU
50155,session_1,rest_3,1.3119126581,0.0476100126,0.1192472824,1,0.0181380488,1.2048192771,0.0064441082,OHSU
50156,session_1,rest_2,1.2946186272,0.0345732504,0.0234765154,0,0.0013896341,0,0.0028859007,OHSU
50156,session_1,rest_1,1.3173186869,0.0745001765,0.0223727168,0,0.001375122,0,0.0025510018,OHSU
50156,session_1,rest_3,1.3258231322,0.0334088196,0.0274317063,0,0.0017089024,0,0.0024971363,OHSU
50157,session_1,rest_2,1.2536358396,0.0186689493,0.1342409416,2,0.0239695122,2.4096385542,0.0116021834,OHSU
50157,session_1,rest_1,1.2773185682,0.0352253449,0.1479226374,1,0.0231240244,1.2048192771,0.0102489566,OHSU
50157,session_1,rest_3,1.1283895705,0.0264531215,0.1784149013,2,0.0084067073,2.4096385542,0.0113680261,OHSU
50158,session_1,rest_2,1.2673661662,0.0488142062,0.0472990907,0,0.0011596341,0,0.0034171132,OHSU
50158,session_1,rest_1,1.258620249,0.0630201513,0.0330242666,0,0.0012019512,0,0.0034033935,OHSU
50159,session_1,rest_2,1.3100211047,0.0407892994,0.0810594487,0,0.0036169512,0,0.0033893161,OHSU
50159,session_1,rest_1,1.3694915631,0.0461133385,0.0952533666,0,0.0069971951,0,0.004746425,OHSU
50159,session_1,rest_3,1.2988794293,0.072131497,0.0784011976,0,0.0055291463,0,0.0036014488,OHSU
50160,session_1,rest_2,1.2511797542,0.0280883899,0.0398771089,0,0.0012273171,0,0.0021714474,OHSU
50160,session_1,rest_1,1.2951618393,0.0577156065,0.0627570624,0,0.0057469512,0,0.0027994966,OHSU
50160,session_1,rest_3,1.2833764333,0.1199173121,0.0552908801,0,0.0055480488,0,0.0029542124,OHSU
50161,session_1,rest_2,1.1197288258,0.0588540944,0.116920579,0,0.0039428049,0,0.0086663301,OHSU
50161,session_1,rest_1,1.306606353,0.0871634975,0.1816697396,0,0.0212546341,0,0.0077256984,OHSU
50161,session_1,rest_3,1.2475103813,0.0502824636,0.0518589721,0,0.0011818293,0,0.0027685429,OHSU
50162,session_1,rest_2,1.2435111568,0.0411747497,0.1728282951,0,0.0079660976,0,0.0051055704,OHSU
50162,session_1,rest_1,1.2769105388,0.0665826506,0.2183297132,2,0.0188193902,2.4096385542,0.0071941463,OHSU
50162,session_1,rest_3,1.2670084302,0.0364295366,0.1322022533,0,0.0060973171,0,0.0033661294,OHSU
50163,session_1,rest_1,1.0551254815,0.0563525097,0.2442410191,3,0.0255869512,3.6144578313,0.0136513527,OHSU
50163,session_1,rest_3,1.2247426873,0.0490514739,0.0942882852,0,0.0054043902,0,0.0033837887,OHSU
50164,session_1,rest_1,1.1879705984,0.0726765197,0.2803678556,5,0.0208569512,6.0240963855,0.0115412391,OHSU
50164,session_1,rest_3,1.0381370329,0.036082329,0.2119071037,4,0.0204486585,4.8192771084,0.0135507944,OHSU
50165,session_1,rest_2,1.2075236598,0.0626955821,0.0537284398,0,0.0034914634,0,0.0046070799,OHSU
50165,session_1,rest_1,1.2075236598,0.0626955821,0.0537284398,0,0.0034914634,0,0.0046070799,OHSU
50165,session_1,rest_3,1.2073496571,0.0637083784,0.0399036717,0,0.0015528049,0,0.0033988873,OHSU
50166,session_1,rest_2,1.3859830188,0.0298892852,0.0493337465,0,0.0035537805,0,0.0021817874,OHSU
50166,session_1,rest_1,1.3460636233,0.0513859278,0.0504293148,0,0.0010939024,0,0.0022218355,OHSU
50166,session_1,rest_3,1.2678360915,0.0353813688,0.1542431804,2,0.0158463415,2.4096385542,0.0059721802,OHSU
50167,session_1,rest_2,1.2563799286,0.0578152939,0.0412638507,0,0.0019270732,0,0.0030196156,OHSU
50167,session_1,rest_1,1.2597627455,0.0522972567,0.0307320913,0,0.0009462195,0,0.002490136,OHSU
50167,session_1,rest_3,1.2158685694,0.1247623259,0.0708647284,0,0.0032004878,0,0.0047829123,OHSU
50168,session_1,rest_2,1.3665965082,0.0259564298,0.0520119204,0,0.0026336585,0,0.0041951361,OHSU
50168,session_1,rest_1,1.3313347144,0.0335274867,0.0603893691,0,0.0020006098,0,0.0047000068,OHSU
50168,session_1,rest_3,1.3651621061,0.0253714273,0.0521172001,0,0.0032426829,0,0.0043991438,OHSU
50169,session_1,rest_2,1.2047179146,0.1041879027,0.3216561135,5,0.0248265854,6.0240963855,0.0147709182,OHSU
50169,session_1,rest_1,1.3335989477,0.0599779961,0.1668227627,3,0.0218258537,3.6144578313,0.0072065574,OHSU
50169,session_1,rest_3,1.1476389462,0.0818953639,0.2101874526,2,0.0226820732,2.4096385542,0.0167431427,OHSU
50170,session_1,rest_2,1.2332255753,0.0881494772,0.1513889862,0,0.0046582927,0,0.0066250133,OHSU
50170,session_1,rest_1,1.2185648876,0.0536546379,0.1497542756,0,0.0042117073,0,0.0060334659,OHSU
50170,session_1,rest_3,1.3612670509,0.0713263703,0.1446200856,0,0.0175509756,0,0.0062321922,OHSU
50171,session_1,rest_2,1.308626865,0.1093676201,0.1739976795,2,0.025417439,2.4096385542,0.0067678598,OHSU
50171,session_1,rest_1,1.1371476715,0.0510886188,0.045061526,0,0.0014208537,0,0.0023634638,OHSU
50171,session_1,rest_3,1.464024862,0.1127237729,0.3139276979,8,0.0571793902,9.6385542169,0.0139635148,OHSU
50182,session_1,rest_1,1.0397662983,0.0783969139,0.0862273068,0,0.0030125,0,0.0033107602,SDSU
50183,session_1,rest_1,1.1249451921,0.0181967771,0.0301207611,0,0.0012755,0,0.0016933026,SDSU
50184,session_1,rest_1,1.0428449746,0.029968773,0.0208198472,0,0.0003951111,0,0.0020171864,SDSU
50185,session_1,rest_1,1.1868521837,0.1514331497,0.497136807,24,0.0356167778,13.2596685083,0.0190974299,SDSU
50186,session_1,rest_1,1.0929045336,0.0532901749,0.1468819997,2,0.0082641111,1.1049723757,0.0058382956,SDSU
50187,session_1,rest_1,1.2173892972,0.0903556567,0.0179937252,0,0.0014593889,0,0.0021628103,SDSU
50188,session_1,rest_1,0.9989462312,0.0461797641,0.0736098567,0,0.0022072222,0,0.005627485,SDSU
50189,session_1,rest_1,1.0933208255,0.0477018899,0.0329590978,0,0.0016035556,0,0.002249796,SDSU
50190,session_1,rest_1,0.9452668827,0.0178551117,0.0375275885,0,0.0005228889,0,0.0036834362,SDSU
50191,session_1,rest_1,1.1082907251,0.1379447796,0.0716118233,0,0.0048672222,0,0.0048025113,SDSU
50192,session_1,rest_1,1.2137184122,0.1452352452,0.615706993,33,0.0242736111,18.2320441989,0.0173445328,SDSU
50193,session_1,rest_1,1.1717804044,0.0337588714,0.0285296499,0,0.0005021111,0,0.0028418136,SDSU
50194,session_1,rest_1,1.0865100735,0.0497864299,0.0884593504,0,0.0015182778,0,0.0033873155,SDSU
50195,session_1,rest_1,1.0995569557,0.1629374916,0.0497979495,0,0.0083072222,0,0.0041300649,SDSU
50196,session_1,rest_1,1.0509573801,0.0224045038,0.0287423835,0,0.0009993889,0,0.0029762043,SDSU
50197,session_1,rest_1,1.0835797262,0.0317591,0.0602718624,0,0.0011333333,0,0.0053116632,SDSU
50198,session_1,rest_1,1.1107975796,0.1124569064,0.1459993714,0,0.0023551111,0,0.0037224555,SDSU
50199,session_1,rest_1,1.090430637,0.0285664493,0.0236166369,0,0.0018911667,0,0.0027511926,SDSU
50200,session_1,rest_1,1.0435719573,0.0519670457,0.0672076864,1,0.0088687222,0.5524861878,0.0025310782,SDSU
50201,session_1,rest_1,1.1041861288,0.0556584423,0.0628320798,0,0.0020666111,0,0.0032479283,SDSU
50202,session_1,rest_1,0.9479399146,0.0801959834,0.200902838,1,0.0062786667,0.5524861878,0.0090966827,SDSU
50203,session_1,rest_1,1.2235539327,0.0905943334,0.0285454069,0,0.0012662778,0,0.0020730958,SDSU
50204,session_1,rest_1,1.2929411932,0.0564987902,0.0658790727,0,0.0015294444,0,0.0039421836,SDSU
50205,session_1,rest_1,1.1004213488,0.0401119259,0.0299312234,0,0.0008928333,0,0.0023713633,SDSU
50206,session_1,rest_1,1.0293671006,0.0184488386,0.1040525115,0,0.0012816111,0,0.0078073318,SDSU
50207,session_1,rest_1,1.0532384671,0.1823271061,0.1779623404,4,0.0265066111,2.2099447514,0.0105181108,SDSU
50208,session_1,rest_1,1.0835927392,0.0803308633,0.135191253,2,0.0089846111,1.1049723757,0.0081867079,SDSU
50209,session_1,rest_1,1.1291308556,0.0206696202,0.0484828554,0,0.0005717222,0,0.0025913507,SDSU
50210,session_1,rest_1,1.1258162985,0.0274084736,0.0300438002,0,0.0002934444,0,0.0020003988,SDSU
50211,session_1,rest_1,1.0184072691,0.0315143392,0.0943151272,0,0.0103008333,0,0.0092220626,SDSU
50212,session_1,rest_1,1.043943207,0.0165218837,0.0251317952,0,0.0003156667,0,0.0026171299,SDSU
50213,session_1,rest_1,1.1690750904,0.0885070106,0.100854064,0,0.0045252222,0,0.0068062971,SDSU
50214,session_1,rest_1,1.2426661518,0.0833101247,0.0390527538,0,0.0011557222,0,0.0025668592,SDSU
50215,session_1,rest_1,1.0584719223,0.0411808808,0.0518239879,0,0.0006086667,0,0.0048098664,SDSU
50216,session_1,rest_1,1.076485588,0.0224785506,0.0285799288,0,0.0005073889,0,0.002718355,SDSU
50217,session_1,rest_1,1.2418698135,0.0329250912,0.0517750089,0,0.0015876667,0,0.0047078452,SDSU
50232,session_1,rest_1,1.2037389887,0.0125060641,0.191343134,3,0.0063279333,1.9867549669,0.0191252057,TRINITY
50233,session_1,rest_1,1.2373820353,0.0187744509,0.0530472531,0,0.0010154,0,0.0048336906,TRINITY
50234,session_1,rest_1,1.3805779852,0.055801365,0.0624616802,0,0.0095479333,0,0.0114066391,TRINITY
50235,session_1,rest_1,1.3921104906,0.0600144057,0.0787113014,0,0.0018350667,0,0.0060064014,TRINITY
50236,session_1,rest_1,1.2392681434,0.0329246211,0.0939610386,0,0.0037112,0,0.0063967843,TRINITY
50237,session_1,rest_1,1.06456807,0.0414350935,0.0783014327,0,0.0023494,0,0.0087133253,TRINITY
50238,session_1,rest_1,1.3282431097,0.057336766,0.1041570971,0,0.0056526,0,0.0069582227,TRINITY
50239,session_1,rest_1,1.3562495281,0.0186677648,0.0984635004,0,0.0014232,0,0.0085583805,TRINITY
50240,session_1,rest_1,1.2752778569,0.0197065406,0.0749657769,0,0.0007290667,0,0.0064180153,TRINITY
50241,session_1,rest_1,1.1870381896,0.0334676589,0.0746543102,0,0.0017448667,0,0.0066954353,TRINITY
50242,session_1,rest_1,1.1910915471,0.0249887239,0.6918801607,35,0.0074939333,23.178807947,0.0261283914,TRINITY
50243,session_1,rest_1,1.2754393415,0.0566534268,0.0893139459,0,0.0011781333,0,0.0076187295,TRINITY
50244,session_1,rest_1,1.1656983687,0.0876899173,0.166430573,0,0.0018124,0,0.0094831459,TRINITY
50245,session_1,rest_1,1.222110858,0.0258348093,0.1564876567,0,0.0014513333,0,0.0068268911,TRINITY
50246,session_1,rest_1,1.1505492092,0.0237744131,0.1106976377,0,0.0061922667,0,0.0098934439,TRINITY
50247,session_1,rest_1,1.1336635868,0.0338121392,0.1971185568,2,0.0087316,1.3245033113,0.02397001,TRINITY
50248,session_1,rest_1,1.2089542044,0.0203125693,0.0526701984,0,0.0015884667,0,0.0067009622,TRINITY
50249,session_1,rest_1,1.2730128273,0.0359866367,0.1442195697,5,0.0081561333,3.3112582781,0.0080621217,TRINITY
50250,session_1,rest_1,1.161213797,0.0491577601,0.1016608953,0,0.0027363333,0,0.0092319829,TRINITY
50251,session_1,rest_1,1.4532178007,0.0509110091,0.1198923646,0,0.0012246667,0,0.0075444629,TRINITY
50252,session_1,rest_1,1.2209295954,0.0310678116,0.1100180534,0,0.0015970667,0,0.0098568269,TRINITY
50253,session_1,rest_1,1.4047469499,0.0169146167,0.0623387583,0,0.0014703333,0,0.0092160238,TRINITY
50254,session_1,rest_1,1.2879116775,0.0554553623,0.0540435293,0,0.0008728,0,0.0060070455,TRINITY
50255,session_1,rest_1,1.2967425936,0.0621455469,0.0582913716,0,0.0007400667,0,0.0044646855,TRINITY
50257,session_1,rest_1,1.2587668,0.0295054139,0.0701597337,0,0.0020708667,0,0.0056378356,TRINITY
50259,session_1,rest_1,1.2161721008,0.0178087628,0.0710710819,0,0.0005756667,0,0.0030557292,TRINITY
50260,session_1,rest_1,1.2274497299,0.0390350912,0.0507308224,0,0.0004214,0,0.003432952,TRINITY
50261,session_1,rest_1,1.1718615592,0.0565930229,0.0620547303,0,0.0006832667,0,0.0040149745,TRINITY
50262,session_1,rest_1,1.2473049133,0.0817177772,0.1120452539,0,0.0023168,0,0.0090728937,TRINITY
50263,session_1,rest_1,1.3076219951,0.0372123705,0.0474694857,0,0.0009291333,0,0.0064319475,TRINITY
50264,session_1,rest_1,1.3283207645,0.0356280553,0.0565114235,0,0.0012722667,0,0.0049767572,TRINITY
50265,session_1,rest_1,1.3129576001,0.0576747552,0.2555694964,4,0.0064789333,2.6490066225,0.0162846905,TRINITY
50266,session_1,rest_1,1.2963996401,0.03393619,0.0936781645,0,0.0007036667,0,0.0052924165,TRINITY
50267,session_1,rest_1,1.2700340331,0.099577125,0.0721948558,0,0.0005388,0,0.0052594867,TRINITY
50268,session_1,rest_1,1.3492048796,0.0355866495,0.0778971341,0,0.0012818667,0,0.0075511355,TRINITY
50269,session_1,rest_1,1.4597183205,0.0588974493,0.0772615782,0,0.0008632,0,0.0053398753,TRINITY
50270,session_1,rest_1,1.260000635,0.0829543116,0.0890275283,0,0.0018868667,0,0.0067334349,TRINITY
50271,session_1,rest_1,1.4599866848,0.036125905,0.0620810683,0,0.0009748,0,0.0047592245,TRINITY
50272,session_1,rest_1,1.0283151167,0.013785297,0.0727044442,0,0.0016585,0,0.0148309136,UM_1
